m, l, beta, nu, xi 
3100.0, 8.147251269889722, 0.5, 0.06931125, 0.113625
3790.0, 81.26349328864742 ,0.47000000000000003, 0.06690240000000001, 0.10453500000000002 
4480.0, 163.92140358215394 ,0.47000000000000003, 0.0610848, 0.095445 
5170.0, 250.95978169433738 ,0.44, 0.060903000000000006, 0.09090000000000001 
5860.0, 344.62541374127073 ,0.425, 0.05872140000000001, 0.08635500000000002 
6550.0, 447.9076918289486 ,0.41500000000000004, 0.05644890000000001, 0.08181000000000001 
7240.0, 542.1366147827055 ,0.43, 0.05331285, 0.077265 
7930.0, 657.6313079551596 ,0.43, 0.05017680000000001, 0.07272 
8620.0, 730.6994049716443 ,0.375, 0.0556308, 0.077265 
9310.0, 859.3329121553534 ,0.38, 0.050904000000000005, 0.07272 
10000.0, 988.0244952197218 ,0.39, 0.047722500000000015, 0.06817500000000001 

